['american_football.football_coach', '?type', 'people.person']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'film.producer']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'music.group_member']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'celebrities.celebrity']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'film.director']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'book.author']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'music.producer']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'music.composer']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'tv.tv_director']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'sports.pro_athlete']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'tv.tv_personality']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'music.musical_group']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'film.writer']
['award.award_category', 'award.award_category.nominees-award.award_nomination.ceremony', 'award.award_ceremony']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'people.person']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'film.actor']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'tv.tv_actor']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'theater.theater_actor']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'music.artist']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'film.producer']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'broadcast.artist']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'film.director']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'sports.pro_athlete']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'celebrities.celebrity']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'book.author']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'film.writer']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'music.group_member']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'tv.tv_personality']
['award.award_category', 'award.award_category.winners-award.award_honor.award_winner', 'music.composer']
['award.award_category', 'award.award_category.winners-award.award_honor.ceremony', 'award.award_ceremony']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'music.artist']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'people.person']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'broadcast.artist']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'film.actor']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'music.group_member']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'music.composer']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'tv.tv_actor']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'film.director']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'music.lyricist']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'film.producer']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'celebrities.celebrity']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'music.musical_group']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'tv.tv_personality']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'music.producer']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'film.writer']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'film.music_contributor']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'tv.tv_network']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'music.writer']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'book.author']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'organization.organization']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'tv.tv_producer']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'film.production_company']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'visual_art.visual_artist']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'internet.website_owner']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.award_winner', 'film.film']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.honored_for', 'film.film']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.honored_for', 'music.album']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.honored_for', 'tv.tv_program']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.honored_for', 'music.composition']
['award.award_ceremony', 'award.award_ceremony.awards_presented-award.award_honor.honored_for', 'cvg.computer_videogame']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'music.artist']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'people.person']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'broadcast.artist']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'film.actor']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'tv.tv_actor']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'music.group_member']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'music.composer']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'music.lyricist']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'music.musical_group']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'film.producer']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'film.director']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'celebrities.celebrity']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'tv.tv_personality']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'music.producer']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'film.writer']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'tv.tv_producer']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'film.music_contributor']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'music.writer']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'book.author']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'tv.tv_network']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'tv.tv_director']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'tv.tv_program_creator']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'tv.tv_writer']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'film.film']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'award.hall_of_fame_inductee']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'organization.organization']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'visual_art.visual_artist']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.award_nominee', 'internet.website_owner']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.nominated_for', 'film.film']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.nominated_for', 'music.album']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.nominated_for', 'music.composition']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.nominated_for', 'tv.tv_program']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.nominated_for', 'cvg.computer_videogame']
['award.award_ceremony', 'award.award_ceremony.nominees-award.award_nomination.nominated_for', 'music.artist']
['award.award_ceremony', '?type', 'time.event']
['award.award_discipline', '?type', 'media_common.media_genre']
['award.award_presenting_organization', '?type', 'organization.organization']
['award.competition', '?type', 'time.event']
['award.hall_of_fame_inductee', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.album']
['award.hall_of_fame_inductee', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.album']
['award.hall_of_fame_inductee', 'music.artist.album', 'music.album']
['award.hall_of_fame_inductee', '?type', 'sports.pro_athlete']
['award.hall_of_fame_inductee', 'sports.sports_award_winner.awards-sports.sports_award.team', 'sports.sports_team']
['award.hall_of_fame_inductee', 'sports.sports_award_winner.awards-sports.sports_award.team', 'sports.professional_sports_team']
['award.recurring_competition', 'award.award_nominated_work.award_nominations-award.award_nomination.award_nominee', 'tv.tv_network']
['award.recurring_competition', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'business.business_operation']
['award.recurring_competition', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'tv.tv_network']
['award.recurring_competition', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'organization.organization']
['award.recurring_competition', '?type', 'sports.sports_championship']
['baseball.baseball_league', '?type', 'sports.sports_league']
['baseball.baseball_player', 'baseball.baseball_player.batting_stats-baseball.batting_statistics.team', 'baseball.baseball_team']
['baseball.baseball_player', 'baseball.baseball_player.position_s', 'baseball.baseball_position']
['baseball.baseball_player', 'baseball.baseball_player.position_s', 'business.job_title']
['baseball.baseball_player', '?type', 'sports.pro_athlete']
['baseball.baseball_player', 'sports.pro_athlete.teams-sports.sports_team_roster.position', 'baseball.baseball_position']
['baseball.baseball_player', 'sports.pro_athlete.teams-sports.sports_team_roster.position', 'business.job_title']
['baseball.baseball_position', '?type', 'sports.sports_position']
['baseball.baseball_position', 'sports.sports_position.players-sports.sports_team_roster.player', 'baseball.baseball_player']
['baseball.baseball_position', 'sports.sports_position.players-sports.sports_team_roster.position', 'baseball.baseball_position']
['baseball.baseball_team', 'baseball.baseball_team.league', 'baseball.baseball_league']
['baseball.baseball_team', '?type', 'sports.sports_team']
['baseball.baseball_team', 'sports.sports_team.league-sports.sports_league_participation.league', 'baseball.baseball_league']
['baseball.baseball_team', 'sports.sports_team.roster-sports.sports_team_roster.player', 'baseball.baseball_player']
['basketball.basketball_coach', 'basketball.basketball_player.player_statistics-basketball.basketball_player_stats.team', 'basketball.basketball_team']
['basketball.basketball_coach', '?type', 'people.person']
['basketball.basketball_conference', '?type', 'sports.sports_league']
['basketball.basketball_player', 'basketball.basketball_player.player_statistics-basketball.basketball_player_stats.team', 'basketball.basketball_team']
['basketball.basketball_player', '?type', 'sports.pro_athlete']
['basketball.basketball_player', 'sports.pro_athlete.teams-sports.sports_team_roster.position', 'basketball.basketball_position']
['basketball.basketball_player', 'sports.sports_award_winner.awards-sports.sports_award.team', 'basketball.basketball_team']
['basketball.basketball_position', '?type', 'sports.sports_position']
['basketball.basketball_position', 'sports.sports_position.players-sports.sports_team_roster.player', 'basketball.basketball_player']
['basketball.basketball_team', '?type', 'sports.sports_team']
['basketball.basketball_team', 'sports.sports_team.roster-sports.sports_team_roster.player', 'basketball.basketball_player']
['book.author', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'book.written_work']
['book.author', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'book.book']
['book.author', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['book.author', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'tv.tv_program']
['book.author', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.composition']
['book.author', 'award.award_winner.awards_won-award.award_honor.honored_for', 'book.written_work']
['book.author', 'award.award_winner.awards_won-award.award_honor.honored_for', 'book.book']
['book.author', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['book.author', 'award.award_winner.awards_won-award.award_honor.honored_for', 'tv.tv_program']
['book.author', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.composition']
['book.author', 'book.author.works_written', 'book.written_work']
['book.author', 'book.author.works_written', 'book.book']
['book.author', 'book.author.works_written', 'film.film']
['book.author', 'book.author.works_written', 'theater.play']
['book.author', 'government.politician.party-government.political_party_tenure.party', 'government.political_party']
['book.author', 'music.composer.compositions', 'music.composition']
['book.author', '?type', 'people.person']
['book.book', 'award.award_nominated_work.award_nominations-award.award_nomination.award_nominee', 'people.person']
['book.book', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'book.author']
['book.book', 'book.written_work.author', 'book.author']
['book.book', '?type', 'book.written_work']
['book.periodical_publisher', '?type', 'organization.organization']
['book.written_work', 'award.award_nominated_work.award_nominations-award.award_nomination.award_nominee', 'book.author']
['book.written_work', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'book.author']
['book.written_work', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'film.director']
['book.written_work', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'film.producer']
['book.written_work', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'film.writer']
['book.written_work', 'book.written_work.author', 'book.author']
['book.written_work', 'film.film.directed_by', 'film.director']
['broadcast.artist', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.album']
['broadcast.artist', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.composition']
['broadcast.artist', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['broadcast.artist', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.album']
['broadcast.artist', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['broadcast.artist', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.composition']
['broadcast.artist', 'music.artist.album', 'music.album']
['broadcast.artist', 'music.composer.compositions', 'music.composition']
['broadcast.artist', '?type', 'music.artist']
['broadcast.broadcast', 'broadcast.broadcast.area_served', 'location.location']
['broadcast.broadcast', 'broadcast.broadcast.area_served', 'location.citytown']
['broadcast.broadcast', 'broadcast.broadcast.area_served', 'location.hud_county_place']
['broadcast.broadcast', 'broadcast.broadcast.area_served', 'location.capital_of_administrative_division']
['broadcast.broadcast', 'broadcast.broadcast.area_served', 'location.administrative_division']
['broadcast.broadcast', 'broadcast.broadcast.area_served', 'award.award_discipline']
['broadcast.broadcast', 'broadcast.broadcast.area_served', 'exhibitions.exhibition_sponsor']
['broadcast.broadcast', 'broadcast.broadcast.area_served', 'geography.island']
['broadcast.broadcast', 'broadcast.broadcast.area_served', 'protected_sites.listed_site']
['broadcast.broadcast', 'broadcast.broadcast.area_served', 'military.military_post']
['broadcast.genre', '?type', 'media_common.media_genre']
['broadcast.radio_station', 'broadcast.broadcast.area_served', 'location.location']
['broadcast.radio_station', 'broadcast.broadcast.area_served', 'location.citytown']
['broadcast.radio_station', 'broadcast.broadcast.area_served', 'location.hud_county_place']
['broadcast.radio_station', 'broadcast.broadcast.area_served', 'location.capital_of_administrative_division']
['broadcast.radio_station', 'broadcast.broadcast.area_served', 'location.administrative_division']
['broadcast.radio_station', 'broadcast.broadcast.area_served', 'award.award_discipline']
['broadcast.radio_station', 'broadcast.broadcast.area_served', 'exhibitions.exhibition_sponsor']
['broadcast.radio_station', '?type', 'broadcast.broadcast']
['broadcast.tv_channel', '?type', 'broadcast.broadcast']
['broadcast.tv_station', 'broadcast.broadcast.area_served', 'location.location']
['broadcast.tv_station', 'broadcast.broadcast.area_served', 'location.citytown']
['broadcast.tv_station', 'broadcast.broadcast.area_served', 'location.hud_county_place']
['broadcast.tv_station', 'broadcast.broadcast.area_served', 'location.capital_of_administrative_division']
['broadcast.tv_station', 'broadcast.broadcast.area_served', 'location.administrative_division']
['broadcast.tv_station', 'broadcast.broadcast.area_served', 'protected_sites.listed_site']
['broadcast.tv_station', '?type', 'broadcast.broadcast']
['business.business_operation', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'tv.tv_program']
['business.business_operation', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['business.business_operation', 'award.award_winner.awards_won-award.award_honor.honored_for', 'tv.tv_program']
['business.business_operation', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['business.business_operation', '?type', 'organization.organization']
['business.business_operation', 'tv.tv_network.programs-tv.tv_network_duration.program', 'tv.tv_program']
['business.consumer_company', '?type', 'business.business_operation']
['business.customer', '?type', 'business.business_operation']
['business.defunct_company', '?type', 'business.business_operation']
['celebrities.celebrity', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['celebrities.celebrity', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'tv.tv_program']
['celebrities.celebrity', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.composition']
['celebrities.celebrity', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['celebrities.celebrity', 'award.award_winner.awards_won-award.award_honor.honored_for', 'tv.tv_program']
['celebrities.celebrity', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.composition']
['celebrities.celebrity', '?type', 'film.actor']
['celebrities.celebrity', '?type', 'tv.tv_actor']
['chess.chess_player', '?type', 'people.person']
['comic_books.comic_book_character', 'film.film_character.portrayed_in_films-film.performance.actor', 'film.actor']
['comic_books.comic_book_character', 'film.film_character.portrayed_in_films-film.performance.actor', 'tv.tv_actor']
['comic_books.comic_book_character', '?type', 'fictional_universe.fictional_character']
['computer.computer', '?type', 'cvg.cvg_platform']
['cricket.cricket_bowler', '?type', 'cricket.cricket_player']
['cricket.cricket_bowler', '?type', 'people.person']
['cricket.cricket_player', '?type', 'sports.pro_athlete']
['cricket.cricket_stadium', '?type', 'architecture.structure']
['cricket.cricket_stadium', '?type', 'architecture.venue']
['cricket.cricket_team', '?type', 'sports.sports_team']
['cricket.cricket_team', 'sports.sports_team.roster-sports.sports_team_roster.player', 'cricket.cricket_player']
['cricket.cricket_team', 'sports.sports_team.roster-sports.sports_team_roster.player', 'cricket.cricket_bowler']
['cvg.computer_videogame', 'award.award_nominated_work.award_nominations-award.award_nomination.award_nominee', 'cvg.cvg_developer']
['cvg.computer_videogame', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'cvg.cvg_developer']
['cvg.computer_videogame', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'business.business_operation']
['cvg.computer_videogame', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'cvg.cvg_publisher']
['cvg.computer_videogame', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.record_label']
['cvg.computer_videogame', 'base.wikipedia_infobox.video_game.developer', 'cvg.cvg_developer']
['cvg.computer_videogame', 'base.wikipedia_infobox.video_game.platforms', 'cvg.cvg_platform']
['cvg.computer_videogame', 'base.wikipedia_infobox.video_game.platforms', 'computer.computer']
['cvg.computer_videogame', 'base.wikipedia_infobox.video_game.platforms', 'business.consumer_product']
['cvg.computer_videogame', 'base.wikipedia_infobox.video_game.platforms', 'computer.operating_system']
['cvg.computer_videogame', 'base.wikipedia_infobox.video_game.platforms', 'computer.software']
['cvg.computer_videogame', 'cvg.computer_videogame.developer', 'cvg.cvg_developer']
['cvg.computer_videogame', 'cvg.computer_videogame.publisher', 'cvg.cvg_publisher']
['cvg.cvg_developer', '?type', 'business.business_operation']
['cvg.cvg_genre', '?type', 'media_common.media_genre']
['cvg.cvg_publisher', '?type', 'organization.organization']
['cvg.cvg_publisher', '?type', 'cvg.cvg_developer']
['education.educational_institution', 'education.educational_institution.athletics_brand', 'education.athletics_brand']
['education.educational_institution', 'organization.organization.headquarters-location.mailing_address.state_province_region', 'location.administrative_division']
['education.educational_institution', 'organization.organization.headquarters-location.mailing_address.state_province_region', 'location.us_state']
['education.educational_institution', 'organization.organization.headquarters-location.mailing_address.state_province_region', 'location.province']
['education.educational_institution', '?type', 'organization.organization']
['education.fraternity_sorority', '?type', 'organization.organization']
['education.school', '?type', 'education.educational_institution']
['education.university', 'education.educational_institution.athletics_brand', 'education.athletics_brand']
['education.university', 'organization.organization.headquarters-location.mailing_address.state_province_region', 'location.administrative_division']
['education.university', 'organization.organization.headquarters-location.mailing_address.state_province_region', 'location.province']
['education.university', 'organization.organization.headquarters-location.mailing_address.state_province_region', 'location.us_state']
['education.university', '?type', 'education.educational_institution']
['education.university', '?type', 'location.location']
['fictional_universe.fictional_character', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'book.author']
['fictional_universe.fictional_character', 'film.film_character.portrayed_in_films-film.performance.actor', 'film.actor']
['fictional_universe.fictional_character', 'film.film_character.portrayed_in_films-film.performance.actor', 'tv.tv_actor']
['fictional_universe.fictional_character', 'tv.tv_character.appeared_in_tv_program-tv.regular_tv_appearance.actor', 'tv.tv_actor']
['fictional_universe.fictional_character', 'tv.tv_character.appeared_in_tv_program-tv.regular_tv_appearance.actor', 'film.actor']
['fictional_universe.fictional_organization', '?type', 'organization.organization']
['film.actor', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['film.actor', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'tv.tv_program']
['film.actor', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.composition']
['film.actor', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.album']
['film.actor', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film_character']
['film.actor', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'tv.tv_character']
['film.actor', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['film.actor', 'award.award_winner.awards_won-award.award_honor.honored_for', 'tv.tv_program']
['film.actor', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.composition']
['film.actor', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.album']
['film.actor', 'film.actor.film-film.performance.character', 'film.film_character']
['film.actor', 'film.actor.film-film.performance.character', 'fictional_universe.fictional_character']
['film.actor', 'film.actor.film-film.performance.character', 'tv.tv_character']
['film.actor', 'film.actor.film-film.performance.character', 'comic_books.comic_book_character']
['film.actor', 'film.actor.film-film.performance.film', 'film.film']
['film.actor', 'music.artist.album', 'music.album']
['film.actor', 'music.composer.compositions', 'music.composition']
['film.actor', '?type', 'people.person']
['film.actor', 'tv.tv_actor.starring_roles-tv.regular_tv_appearance.character', 'tv.tv_character']
['film.actor', 'tv.tv_actor.starring_roles-tv.regular_tv_appearance.character', 'fictional_universe.fictional_character']
['film.actor', 'tv.tv_actor.starring_roles-tv.regular_tv_appearance.character', 'film.film_character']
['film.actor', 'tv.tv_actor.starring_roles-tv.regular_tv_appearance.character', 'comic_books.comic_book_character']
['film.actor', 'tv.tv_actor.starring_roles-tv.regular_tv_appearance.series', 'tv.tv_program']
['film.actor', 'tv.tv_actor.starring_roles-tv.regular_tv_appearance.series', 'film.film']
['film.director', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['film.director', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['film.director', 'film.director.film', 'film.film']
['film.director', '?type', 'people.person']
['film.film', 'award.award_nominated_work.award_nominations-award.award_nomination.award_nominee', 'people.person']
['film.film', 'award.award_nominated_work.award_nominations-award.award_nomination.ceremony', 'award.award_ceremony']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'people.person']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'film.director']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'film.writer']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'film.producer']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'film.actor']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'tv.tv_actor']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.artist']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'book.author']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'tv.tv_producer']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.group_member']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'film.music_contributor']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'celebrities.celebrity']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'broadcast.artist']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.composer']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'tv.tv_director']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'tv.tv_network']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'tv.tv_program_creator']
